BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME
SNDX;IMOEX;17.06.2014;Индекс МосБиржи;Индекс МосБиржи;1486,38;1494,08;1501,62;1479,97;31469206875;;;2;6,7016E+12;RUB;4508662236;3;
SNDX;IMOEX;18.06.2014;Индекс МосБиржи;Индекс МосБиржи;1494,28;1486,47;1500,39;1484,51;33911920376;;;2;6,73718E+12;RUB;4508662236;3;
SNDX;IMOEX;19.06.2014;Индекс МосБиржи;Индекс МосБиржи;1495,09;1494,99;1508,95;1493,52;33365816577;;;2;6,74087E+12;RUB;4508662236;3;
SNDX;IMOEX;20.06.2014;Индекс МосБиржи;Индекс МосБиржи;1486,3;1494,87;1496;1480,97;33968939809;;;2;6,70122E+12;RUB;4508662236;3;
SNDX;IMOEX;23.06.2014;Индекс МосБиржи;Индекс МосБиржи;1486,3;1486,33;1498,9;1478,63;27991633367;;;2;6,70121E+12;RUB;4508662236;3;
SNDX;IMOEX;24.06.2014;Индекс МосБиржи;Индекс МосБиржи;1518,83;1487,1;1519,09;1487,1;47131621979;;;2;6,84789E+12;RUB;4508662236;3;
SNDX;IMOEX;25.06.2014;Индекс МосБиржи;Индекс МосБиржи;1481,95;1517,62;1517,62;1479,28;39009853271;;;2;6,6816E+12;RUB;4508662236;3;
SNDX;IMOEX;26.06.2014;Индекс МосБиржи;Индекс МосБиржи;1473,18;1482,13;1489,68;1465,15;33389595355;;;2;6,64209E+12;RUB;4508662236;3;
SNDX;IMOEX;27.06.2014;Индекс МосБиржи;Индекс МосБиржи;1477,32;1473,31;1481,29;1467,94;24506324520;;;2;6,66075E+12;RUB;4508662236;3;
SNDX;IMOEX;30.06.2014;Индекс МосБиржи;Индекс МосБиржи;1476,38;1477,29;1478,43;1460,38;25738557239;;;2;6,65652E+12;RUB;4508662236;3;
SNDX;IMOEX;01.07.2014;Индекс МосБиржи;Индекс МосБиржи;1482,92;1476,28;1483,23;1461,45;24341254952;;;2;6,68596E+12;RUB;4508662236;3;
